cgpa,iq
5.13,88
5.9,113
8.36,93
8.27,97
5.45,110
5.88,109
8.41,98
8.8,115
5.79,110
8.09,94
4.6,86
6.1,110
8.16,97
5,88
5.71,108
8.31,95
5.5,111
7.87,91
6.05,111
5.84,113
7.47,98
4.86,86
7.78,92
4.78,87
4.96,88
7.93,98
4.86,87
9.18,119
8.04,94
5.43,106
8.86,117
6.01,112
8.83,118
5.32,106
7.77,96
8,96
8.56,118
5.91,108
5.44,84
5.57,113
5.34,85
8.43,96
8.02,93
5.31,86
8.96,116
8.78,116
8.14,94
6.4,108
8.45,119
5.67,109
5.14,83
4.95,86
8.79,116
8.12,96
8.81,115
6.05,108
5.85,111
8.88,115
5.87,109
9.07,117
6.02,104
8.34,96
8.65,95
8.92,118
5.21,87
8.75,113
8.53,93
4.91,85
5.77,111
8.29,95
6.06,109
8.71,116
7.93,94
5.28,83
5.55,109
8.86,118
5.81,112
9.3,117
5.15,88
8.72,92
8.14,91
9.01,121
5.47,111
4.9,85
8.97,116
4.89,88
9,117
5.74,109
8.76,117
5.8,108
8.78,117
9.23,114
8.2,92
5.05,86
8.67,95
8.18,94
9.03,118
8.61,95
4.98,91
